"Región","Total"
"02-Sep","1582"
"03-Sep","1758"
"04-Sep","1965"
"05-Sep","1961"
"06-Sep","2077"
"07-Sep","1764"
"08-Sep","1263"
"09-Sep","1482"
"10-Sep","1639"
"11-Sep","1860"
"12-Sep","2135"
"13-Sep","2082"
"14-Sep","1685"
"15-Sep","1536"
"16-Sep","1305"
"17-Sep","1860"
"18-Sep","1673"
"19-Sep","1848"
"20-Sep","1600"
"21-Sep","1194"
"22-Sep","1054"
"23-Sep","1372"
"24-Sep","1731"
"25-Sep","2222"
"26-Sep","2109"
"27-Sep","1923"
"28-Sep","1770"
"29-Sep","1622"
"30-Sep","1684"
"01-Oct","1760"
"02-Oct","1839"
"03-Oct","1880"
"04-Oct","1708"
"05-Oct","1567"
"06-Oct","1554"
"07-Oct","1131"
"08-Oct","1575"
"09-Oct","1750"
"10-Oct","1824"
"11-Oct","1776"
"12-Oct","1517"
"13-Oct","1392"
"14-Oct","1089"
"15-Oct","1122"
"16-Oct","1689"
"17-Oct","1811"
"18-Oct","1759"
"19-Oct","1545"
"20-Oct","1099"
"21-Oct","1152"
"22-Oct","1495"
"23-Oct","1773"
"24-Oct","1631"
"25-Oct","1540"
"26-Oct","1505"
"27-Oct","922"
"28-Oct","1004"
"29-Oct","1519"
"30-Oct","1529"
"31-Oct","1686"
"01-Nov","1607"
"02-Nov","1314"
"03-Nov","1009"
"04-Nov","846"
"05-Nov","1540"
"06-Nov","1801"
"07-Nov","1568"
"08-Nov","1576"
"09-Nov","1318"
"10-Nov","1083"
"11-Nov","904"
"12-Nov","1631"
"13-Nov","1592"
"14-Nov","1644"
"15-Nov","1597"
"16-Nov","1331"
"17-Nov","1003"
"18-Nov","945"
"19-Nov","1455"
"20-Nov","1573"
"21-Nov","1550"
"22-Nov","1497"
"23-Nov","1440"
